FMID,Credit,WIC,WICcash,SFMNP,SNAP
1001294,,,,,
1002984,Y,,,Y,Y
1005086,Y,Y,,Y,Y
1003223,,,,,
1018305,Y,Y,,Y,
1010034,Y,,,,Y
1008974,Y,,,,Y
1018033,Y,,,,Y
1018032,Y,,,,Y
1000297,Y,,,,Y
1011861,Y,,,,
1002987,Y,,,,Y
1000750,Y,Y,,Y,Y
1006095,,,,,
1000708,,Y,,Y,
1000464,,Y,Y,Y,
1006303,Y,,Y,,
1001503,Y,Y,Y,Y,Y
1002860,Y,,,Y,
1018330,Y,,Y,Y,
1010003,Y,Y,Y,Y,Y
1000655,,,,,
1006311,,,,,
1002377,Y,Y,Y,Y,Y
1001349,,,,,
1003772,,,,,
1019347,Y,Y,,Y,Y
1006712,,,,,
1018270,Y,Y,Y,Y,Y
1006410,Y,,,,Y
1001569,,,,,
1000736,,,,,
1003923,,,,Y,
1005375,,,,,
1008999,Y,,,,
1003866,,,,,
1004300,Y,Y,,,Y
1000870,Y,Y,Y,,
1000559,Y,,,,
1005604,Y,,,,
1010694,Y,,,,Y
1011929,Y,,,,Y
1011927,Y,,,,Y
1011928,Y,,,,Y
1001695,,Y,Y,Y,
1002491,,,,,
1012430,Y,Y,,Y,Y
1011490,Y,,,,
1011826,Y,Y,Y,Y,Y
1005376,,,,,
1010695,Y,,,,
1003539,Y,,,,
1007033,,,,,
1019396,Y,Y,,,Y
1011092,Y,,,Y,
1019126,Y,Y,Y,Y,Y
1000898,,,,Y,
1000502,,,,,
1003520,,Y,,,Y
1007435,,,,,
1006907,,,,,
1004803,Y,Y,,Y,Y
1010696,Y,,,,
1005235,,,,,
1010697,Y,,,,
1002624,,,,,
1000029,,,,,
1005228,,,,,
1019044,Y,Y,Y,Y,
1010608,Y,,,,
1004633,Y,Y,,Y,Y
1003411,Y,Y,Y,Y,Y
1000540,,,,,
1003134,,,,,
1001448,,,,,
1001017,,,,,
1007121,,,,,
1004882,,,,,
1009475,Y,,,,
1009163,Y,,,,
1003720,,,,,
1019076,Y,,,,
1008721,,,,,
1011333,Y,Y,,Y,Y
1006740,,,,,
1003662,Y,Y,,Y,
1003814,,,,,
1006519,,Y,,Y,
1000790,Y,Y,Y,Y,Y
1001027,,,,,
1010688,Y,,,,
1008053,Y,,,,Y
1012081,Y,Y,Y,,Y
1012134,Y,,,,
1010152,Y,,,,
1002881,Y,,,,
1004549,Y,Y,Y,Y,Y
1001612,,,,,
1008918,Y,Y,Y,Y,Y
1007268,,Y,,Y,
1008466,Y,,,,
1003082,,Y,Y,Y,
1018168,Y,Y,,Y,
1001604,,,,,
1003211,,,,,
1000353,,,,,
1002354,,Y,Y,Y,
1018517,Y,,,,Y
1003976,,Y,Y,Y,
1002269,,,,,
1007010,,,,,
1003550,,,,,
1012205,Y,Y,Y,Y,
1002936,,,,,
1006001,Y,Y,,Y,Y
1002564,,,,,
1006441,,,,,
1008194,Y,,,Y,
1009308,Y,,,,
1009402,Y,,,,
1003335,,,,,
1010197,,,,,
1009522,Y,,,,
1004987,Y,Y,,,
1000436,Y,,,,Y
1005439,,,,,
1006462,Y,,,,
1001325,,Y,,Y,Y
1007420,Y,Y,,Y,Y
1002294,,,,,
1007305,,Y,Y,Y,
1010533,Y,,,,
1009051,Y,Y,,Y,Y
1003806,Y,,,,Y
1004026,,,,,
1019150,Y,,,,
1000919,,,,,
1003239,,,,,
1000057,Y,Y,Y,Y,Y
1005817,,Y,,,
1016880,Y,,,,Y
1003728,,,,,
1007808,,,,,
1004003,,,,,
1010298,,,,,
1012004,Y,,,,Y
1008861,Y,,,,
1007020,,,,,
1009448,Y,,,,
1003912,Y,,,,
1009473,Y,,,,
1012753,Y,,,,
1001852,Y,,Y,,Y
1006359,Y,Y,Y,Y,Y
1018391,Y,Y,Y,Y,Y
1009334,Y,,,,
1018602,Y,,,Y,Y
1018735,Y,,,,
1001275,Y,Y,,Y,Y
1001827,,,,,
1011675,Y,Y,,,Y
1001828,,,,,
1018759,Y,Y,,Y,Y
1001403,Y,Y,Y,Y,Y
1011291,Y,Y,,Y,Y
1011041,Y,Y,,Y,
1018709,Y,,,,Y
1018388,Y,,Y,,
1019400,Y,,,,
1009202,Y,,,,
1005936,,,,,
1018658,Y,,,Y,
1010368,Y,Y,,Y,
1006161,Y,,,,
1005696,,,,,
1010607,Y,Y,Y,Y,
1012635,Y,,,Y,Y
1011913,Y,,,,
1004782,Y,Y,,Y,Y
1009384,Y,,,,
1008797,Y,Y,Y,,Y
1004852,,,,,
1007195,,,,,
1007653,,,,,
1007182,,,,,
1004824,,,,,
1003347,,,,,
1011051,Y,Y,,Y,
1012629,Y,Y,,Y,
1001076,,,,,
1010227,Y,,,,
1007114,,,,,
1011902,Y,,,Y,
1001082,,,,,
1001176,,,,,
1008875,,Y,,Y,
1005468,,,,,
1001204,Y,Y,,Y,Y
1002917,Y,Y,,Y,Y
1010259,Y,,,Y,Y
1004973,,,,,
1008140,Y,Y,,Y,Y
1000940,,,,,
1009929,Y,,,,
1005168,,,,,
1011488,Y,Y,,Y,Y
1002064,Y,Y,Y,Y,Y
1009323,Y,,,,
1001640,Y,Y,,Y,Y
1011363,Y,,,,
1000530,,,,,
1003956,Y,Y,Y,Y,
1009956,Y,,,,
1008877,Y,Y,,,
1008722,Y,Y,Y,Y,Y
1001316,Y,Y,,,
1007658,,,,,
1001533,Y,Y,,,Y
1018644,Y,,,,
1000934,,,,,
1012679,Y,,,,Y
1018646,Y,Y,Y,Y,Y
1005543,,,,,
1008920,Y,Y,Y,Y,Y
1009219,Y,,,,
1000333,,,,,
1004458,,,,,
1010815,Y,,,Y,
1005291,Y,Y,,Y,Y
1012718,Y,Y,Y,Y,Y
1010940,Y,Y,,Y,Y
1012011,Y,Y,,Y,Y
1009491,Y,,,,
1005183,Y,,,Y,Y
1019005,Y,,,,
1007371,Y,Y,Y,Y,Y
1004320,Y,Y,,Y,
1005773,Y,,,,Y
1011835,Y,,,,Y
1001622,,Y,,Y,
1007659,,Y,,Y,
1011942,Y,Y,Y,Y,Y
1012087,Y,,,,
1011252,Y,,,,Y
1001424,Y,Y,Y,Y,Y
1011221,Y,,,,Y
1002802,,,,,
1010605,Y,,,,
1011447,Y,Y,,,Y
1004403,Y,Y,,Y,
1011149,Y,,,,
1019301,Y,Y,Y,,Y
1010832,Y,,,,
1019168,Y,,,Y,Y
1019169,Y,,,Y,Y
1016774,Y,,,,
1005277,Y,Y,,Y,
1007052,,,,,
1010111,,,,,
1007462,,,,,
1003666,Y,,,Y,
1004386,,,,,
1000745,Y,,,,
1010406,Y,Y,,,
1012494,Y,Y,,Y,Y
1018161,Y,Y,Y,Y,Y
1005222,,,,,
1018779,Y,Y,,Y,Y
1001460,Y,Y,,Y,Y
1009978,Y,Y,Y,Y,Y
1004627,,,,,
1005949,Y,Y,Y,Y,Y
1002540,,,,,
1011915,Y,,,,
1011917,Y,,,,
1005765,,,,,
1019338,Y,,,,Y
1019339,Y,,,,Y
1007345,,,,,
1000700,Y,Y,,Y,
1005730,Y,,,,
1006345,Y,,,Y,Y
1001879,,,,,
1008121,Y,Y,,,Y
1009854,Y,Y,Y,,
1019591,Y,Y,,Y,Y
1018044,Y,,,,
1000443,,,,,
1010217,Y,,,,
1005217,Y,Y,Y,Y,
1011692,Y,,,,
1011854,Y,Y,Y,Y,
1003485,,,,,
1011037,Y,,,,Y
1003953,,,,,
1003954,,,,Y,
1009738,,,,,Y
1001781,,,,,Y
1003939,,,,,
1000730,Y,,,,Y
1003085,Y,,,,
1010440,Y,Y,,Y,
1010442,,Y,,,
1002126,,,,,
1012660,Y,Y,,Y,Y
1019421,Y,Y,Y,,
1000254,Y,,,,Y
1003393,,,,,
1009274,Y,,,,
1001268,,,,,
1001916,,,,,
1012163,Y,,,,Y
1001851,,Y,,,
1002609,,,,,
1010004,Y,Y,,Y,
1009512,Y,,,,
1011911,Y,Y,,Y,
1000964,Y,,,,
1017936,Y,Y,,Y,Y
1007473,,,,,
1005232,,,,,
1011829,Y,,,Y,Y
1001125,,,,,
1008070,Y,Y,Y,Y,Y
1000154,,,,,
1018396,Y,Y,,Y,Y
1018223,Y,Y,,Y,Y
1018563,Y,,,,Y
1000208,Y,Y,,Y,
1002737,Y,Y,,Y,Y
1005883,,Y,,Y,
1005708,,,,,
1007661,,,,,
1008372,Y,,Y,,Y
1009271,Y,,,,
1005223,,,,,
1003675,,,,,
1001063,,,,,
1005436,,,,Y,Y
1008177,Y,Y,,Y,Y
1010000,Y,Y,,Y,Y
1004274,Y,,,,Y
1008789,,Y,Y,,
1019372,Y,,,Y,
1019440,Y,,,,
1006960,,,,,
1018092,Y,Y,,Y,
1004074,Y,,Y,Y,Y
1001617,,,,,
1018374,Y,,,,
1018134,Y,,,,
1006683,,,,,
1018313,Y,,,,Y
1018316,Y,,,,Y
1002866,,,,,
1005231,,,,,
1009168,Y,,,,
1001513,,,,,
1009399,Y,,,,
1010517,Y,,,,
1004185,,,,,
1018353,Y,,,Y,Y
1001840,,,,,
1003632,Y,Y,,,
1005874,,,,,
1011796,Y,,,,Y
1006833,Y,Y,Y,Y,Y
1012632,Y,,,,Y
1012583,Y,,,,
1001144,,,,,
1018036,Y,,,,Y
1001907,,Y,,,
1005908,,Y,,Y,
1019318,Y,,,,
1000953,,Y,,Y,
1002672,Y,,,,
1001016,,,,,
1007073,,,,,
1000101,Y,Y,Y,Y,Y
1000293,,,,,
1011061,Y,,,,
1012513,Y,,,,
1006967,,,,,
1018794,Y,Y,,Y,Y
1012593,Y,,,,
1006886,,,,,
1011174,Y,,,,
1004298,Y,Y,,,
1018394,Y,,,,
1005438,,,,,
1003353,Y,Y,,,Y
1001526,,,,,
1012335,Y,Y,,,Y
1003794,,,,,
1003958,,,,,
1001773,Y,Y,,Y,Y
1001772,Y,,,,Y
1009259,Y,,,,
1006980,,,,,
1002728,,,,,
1004020,Y,Y,,Y,Y
1009682,Y,,,,
1006542,Y,Y,Y,Y,Y
1004534,Y,,,,Y
1009863,Y,,,,
1019165,Y,Y,,,
1008423,,,,,
1006911,,,,,
1000066,Y,Y,Y,Y,Y
1008806,Y,Y,,Y,
1007556,,,,,
1008808,Y,,Y,Y,Y
1004174,Y,Y,,Y,
1019205,Y,Y,,Y,Y
1006498,Y,Y,,Y,
1000162,Y,Y,,Y,
1010329,Y,,Y,Y,Y
1012320,Y,,,,Y
1006913,,,,,
1009876,,Y,Y,Y,
1006731,,,,,
1008629,,,,,
1000023,Y,,,,
1005051,,,,,
1010748,Y,,,,Y
1018227,Y,Y,Y,Y,Y
1008830,Y,Y,,Y,
1007584,,,,,
1000156,,,,,
1008401,Y,Y,,,Y
1003465,,,,,
1005714,Y,Y,,Y,
1002178,,,,,
1012403,Y,Y,Y,Y,Y
1007428,,,,,
1006926,,,,,
1002407,Y,Y,,Y,Y
1018461,Y,,,,Y
1011075,Y,,,,Y
1003052,,,,,
1007663,,,,,
1003139,,,,,
1007746,,,,,
1007558,,,,,
1004819,,,,,
