FMID,season,seasonOpenning,seasonClosing,seasonTime
1008629,"June - October","June ",October,"Tue: 6:00 AM-1:00 PM;Thu: 6:00 AM-1:00 PM;Sat: 6:00 AM-1:00 PM;"
1000023,"January - December","January "," December","Tue:10:00 AM - 6:00 PM;Wed:10:00 AM - 6:00 PM;Thu:10:00 AM - 6:00 PM;Fri:10:00 AM - 6:00 PM;Sat:9:00 AM - 4:00 PM;"
1010748,"January - December","January "," December","Sat: 10:00 AM-12:00 PM;"
1018227,"February - May","February "," May","Sat: 9:00 AM-1:00 PM;"
1008830,"June - October","June ",October,"Fri: 9:00 AM-1:00 PM;"
1008401,"May - October","May ",October,"Thu: 4:00 PM-6:30 PM;"
1003465,"May - October","May ",October,"Sat:10:00 AM - 12:00 PM;"
1005714,"May - October","May ",October,"Fri: 9:00 AM-2:00 PM;"
1012403,"June - October","June ",October,"Thu: 4:00 PM-7:00 PM;"
1006926,"May - October","May ",October,"Sat:7:00 AM - 12:00 PM;"
1002407,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1018461,"May - September","May "," September","Tue: 4:00 PM-7:00 PM;"
1011075,"November - March","November "," March","Sat: 10:00 AM-2:00 PM;"
1017946,"June - September","June "," September","Wed: 4:00 PM-7:00 PM;"
1018556,"May - October","May ",October,"Thu: 4:00 PM-7:00 PM;"
1011349,"March - November","March ",November,"Sat: 8:00 AM-12:00 PM;"
1008611,"January - December","January "," December","Thu: 3:00 PM-6:00 PM;"
1003004,"May - May","May "," May","Mon: -1:00 AM;Tue: 8:30 AM-1:00 PM;Thu: 8:30 AM-1:00 PM;Sat: 8:30 AM-2:00 PM;"
1005878,"June - November","June ",November,"Wed: 9:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;"
1006853,"May - September","May "," September","Thu: 3:00 PM-7:00 PM;"
1006305,"May - October","May ",October,"Mon: 10:00 AM-4:00 PM;"
1011201,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1018821,"January - December","January "," December","Sat: 10:00 AM-4:00 PM;"
1001519,"November - April","November "," April","Sun: 11:00 AM-2:00 PM;"
1002700,"June - October","June ",October,"Wed: 4:00 PM-7:30 PM;"
1000781,"June - August","June "," August","Fri: 10:00 AM-2:00 PM;"
1011242,"June - October","June ",October,"Tue: 4:00 PM-6:30 PM;"
1019146,"June - October","June ",October,"Sun: 11:00 AM-3:00 PM;"
1008382,"May - November","May ",November,"Sat: 8:00 AM-1:00 PM;"
1018756,"June - ","June "," ","Sat: 4:00 PM-8:00 PM;"
1005440,"November - May","November "," May","Sun: 1:00 PM-4:00 PM;"
1005483,"April - October","April ",October,"Sat: 9:00 AM-2:00 PM;"
1007649,"January - December","January "," December","Sat:8:00 AM - 1:00 PM;"
1007650,"January - December","January "," December","Thu:3:00 PM - 7:00 PM;Sat:8:00 AM - 5:00 PM;"
1004480,"June - October","June ",October,"Wed:2:00 pm - 6:00 pm;"
1008017,"January - December","January "," December","Sun: 10:00 AM-2:00 PM;"
1010604,"April - October","April ",October,"Sat: 8:00 AM-12:00 PM;"
1005301,"June - November","June ",November,"Tue: 2:00 PM-7:00 PM;"
1005321,"June - November","June ",November,"Wed: 2:00 PM-7:00 PM;"
1018892,"May - November","May ",November,"Sat: 8:00 AM-12:00 PM;"
1019467,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1006306,"May - September","May "," September","Mon: 9:00 AM-2:00 PM;"
1010385,"May - October","May ",October,"Thu: 10:00 AM-3:00 PM;"
1009948,"June - September","June "," September","Mon: 4:00 PM-7:00 PM;"
1019257,"May - September","May "," September","Sat: 9:00 AM-1:00 PM;"
1018260,"July - October","July ",October,"Fri: 10:00 AM-2:00 PM;"
1018661,"June - October","June ",October,"Thu: 11:00 AM-3:00 PM;"
1006039,"November - April","November "," April","Fri:10:30 am - 2:00 pm;"
1000095,"June - November","June ",November,"Tue: 8:00 AM-4:00 PM;"
1012744,"May - November","May ",November,"Sat: 8:30 AM-1:00 PM;"
1005367,"June - September","June "," September","Wed: 3:00 PM-6:00 PM;"
1000787,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1001097,"May - October","May ",October,"Sat: 7:30 AM-12:00 PM;"
1003988,"June - October","June ",October,"Sat: 8:00 AM-1:00 PM;"
1007361,"June - September","June "," September","Fri: 4:00 PM-6:30 PM;"
1006915,"May - October","May ",October,"Sat:8:00 AM - 12:00 PM;"
1012726,"April - December","April "," December","Sat: 9:00 AM-12:00 PM;"
1002166,"June - September","June "," September","Tue: 3:00 PM-6:00 PM;Fri: 7:00 AM-12:00 PM;"
1005482,"May - October","May ",October,"Sun: 9:00 AM-1:00 PM;"
1019527,"January - December","January "," December","Wed: 10:00 AM-3:00 PM;Sat: 10:00 AM-3:00 PM;"
1018280,"June - October","June ",October,"Tue: 4:00 PM-7:00 PM;"
1012257,"April - December","April "," December","Sat: 9:00 AM-1:00 PM;"
1012091,"June - November","June ",November,"Thu: 1:30 PM-6:30 PM;"
1000100,"January - December","January "," December","Tue: 8:00 AM-6:00 PM;Thu: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;"
1002427,"November - November","November ",November,"Sat: 9:00 AM-12:00 PM;"
1006584,"May - September","May "," September","Thu:4:00 AM - 7:00 PM;"
1008379,"May - September","May "," September","Tue: 9:30 AM-12:00 PM;"
1018891,"March - December","March "," December","Sun: 10:00 AM-4:00 PM;"
1001086,"May - October","May ",October,"Fri: 3:30 PM-7:00 PM;"
1005909,"June - September","June "," September","Fri:4:00 PM - 7:00 PM;"
1012171,June,"June ",,"Tue: 4:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;"
1017989,"June - September","June "," September","Tue: 4:00 PM-7:00 PM;"
1001751,"June - September","June "," September","Thu:4:30 pm - 6:00 pm;"
1005744,"May - October","May ",October,"Sat:8:00 am - 12:00 pm;"
1009737,"May - November","May ",November,"Thu: 3:00 PM-7:00 PM;"
1009736,"May - November","May ",November,"Sat: 9:00 AM-12:00 PM;"
1018135,"November - April","November "," April","Sat: 10:00 AM-2:00 PM;"
1019468,"September - October","September ",October,"Wed: 10:30 AM-2:00 PM;"
1017938,"June - September","June "," September","Thu: 4:00 PM-7:00 PM;"
1009721,"June - August","June "," August","Tue: 12:00 PM-6:00 PM;"
1001326,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1001910,"May - October","May ",October,"Thu: 3:00 PM-7:00 PM;"
1006168,"January - January","January ",January,"Sat: 9:00 AM-12:00 PM;"
1008924,"July - November","July ",November,"Sat: 9:30 AM-3:30 PM;"
1008922,"July - November","July ",November,"Fri: 1:00 PM-6:00 PM;"
1017968,"June - October","June ",October,"Fri: 1:00 PM-5:00 PM;"
1016892,"May - September","May "," September","Sat: 9:00 AM-12:00 PM;"
1006260,"June - August","June "," August","Tue:5:00 PM - 8:00 PM;"
1008607,"May - November","May ",November,"Sat: 8:30 AM-12:30 PM;"
1007369,"June - September","June "," September","Sat: 8:00 AM-10:00 AM;"
1012625,"October - ","October "," ","Sat: 12:00 PM-2:00 PM;"
1008485,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1011923,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1011832,April,"April ",,"Sat: 9:00 AM-1:00 PM;"
1019218,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1008953,"May - October","May ",October,"Thu: 2:00 PM-5:00 PM;"
1006993,"April - November","April ",November,"Tue:3:00 PM - 7:00 PM;"
1002305,"July - September","July "," September","Wed:4:00 PM - 6:30 PM;"
1010621,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1000843,"January - December","January "," December","Sat: 8:00 AM-12:30 PM;"
1001541,"May - October","May ",October,"Thu: 11:00 AM-6:00 PM;"
